ID|Date|Supplier|Supplier Description|Category|Item Description|Amount Spent|Quantity Purchased|Country|Price Rate
9e7b0223-bb9c-4b90-9648-aef1711a39cd|2022-01-09|Wang, Shaw and Perez|Wang, Shaw and Perez provides high-quality services in the packaging materials domain.|Packaging Materials|Packaging materials including vials, bottles, and blister packs.|26639.82|36|Timor-Leste|740.0
f4152605-6fc6-4164-9f6e-6eb998b9b5b7|2022-02-16|Moreno Ltd|Moreno Ltd provides high-quality services in the laboratory equipment domain.|Laboratory Equipment|Laboratory instruments like microscopes, pipettes, and centrifuges.|18654.98|69|Tajikistan|270.36
ecd005f7-ab7c-4bee-ba06-e13bd8a8026d|2020-03-26|Mathews, Williams and Walker|Mathews, Williams and Walker provides high-quality services in the pharmaceutical supplies domain.|Pharmaceutical Supplies|Various pharmaceutical raw materials and chemical supplies for production.|4229.59|54|Montserrat|78.33
e9650587-8a0b-41d8-b102-f0ed4ae24a1d|2024-07-01|Ramirez-Gonzalez|Ramirez-Gonzalez provides high-quality services in the software domain.|Software|Software solutions for data management in pharmaceutical companies.|83329.45|46|Falkland Islands (Malvinas)|1811.51
f40b8a92-d891-4a85-9272-7660a2039730|2020-01-06|Anderson-Hensley|Anderson-Hensley provides high-quality services in the it domain.|IT|IT infrastructure services, including servers and networking solutions.|37042.96|6|Gambia|6173.83
6db30e0d-2a20-491d-a13e-db519cf952cc|2024-01-21|Parker-Singh|Parker-Singh provides high-quality services in the research & development domain.|Research & Development|R&D materials for new drug formulation and clinical trials.|61394.59|91|Netherlands Antilles|674.67
ee3e8f93-cb54-4882-9a24-3f59b115bf1b|2022-12-06|Byrd Ltd|Byrd Ltd provides high-quality services in the packaging materials domain.|Packaging Materials|Packaging materials including vials, bottles, and blister packs.|36123.75|20|Argentina|1806.19
0ac76cfb-694e-4c9b-b676-6e6be85d0cc3|2020-05-15|Bartlett PLC|Bartlett PLC provides high-quality services in the it domain.|IT|IT infrastructure services, including servers and networking solutions.|91863.62|62|Jordan|1481.67
5dfc5dd4-e976-4bea-ac82-47e2cad28e21|2022-02-09|Greer, Bishop and Stark|Greer, Bishop and Stark provides high-quality services in the clinical trials domain.|Clinical Trials|Services and supplies for conducting clinical trials and patient studies.|26483.21|8|Papua New Guinea|3310.4
a37e2088-f82f-4c30-93cc-5e98671628fd|2024-04-28|Gallegos, Perkins and Petersen|Gallegos, Perkins and Petersen provides high-quality services in the pharmaceutical supplies domain.|Pharmaceutical Supplies|Various pharmaceutical raw materials and chemical supplies for production.|99478.8|30|Poland|3315.96
